정류장명,정류장번호,노선,기종점,일자,이용자유형,04(승차),04(하차),05(승차),05(하차),06(승차),06(하차),07(승차),07(하차),08(승차),08(하차),09(승차),09(하차),10(승차),10(하차),11(승차),11(하차),12(승차),12(하차),13(승차),13(하차),14(승차),14(하차),15(승차),15(하차),16(승차),16(하차),17(승차),17(하차),18(승차),18(하차),19(승차),19(하차),20(승차),20(하차),21(승차),21(하차),22(승차),22(하차),23(승차),23(하차),00(승차),00(하차),01(승차),01(하차),02(승차),02(하차),03(승차),03(하차),
산성도서관,22600,301,봉산동기점 - 봉산동기점,2023-04,청소년,0,0,0,0,0,0,99,0,21,0,2,0,4,0,4,0,3,0,3,0,1,0,3,0,1,0,2,0,5,0,2,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
산성도서관,22600,301,봉산동기점 - 봉산동기점,2023-04,경로,0,0,0,0,0,0,0,0,9,0,0,0,0,0,2,0,0,1,1,0,0,0,1,0,3,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
산성도서관,22600,301,봉산동기점 - 봉산동기점,2023-04,장애인,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
산성도서관,22600,301,봉산동기점 - 봉산동기점,2023-04,국가유공자,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
산성도서관,22600,31,서남부터미널기점 - 서남부터미널종점,2023-04,일반인,0,0,0,0,0,0,0,0,5,24,0,0,0,0,0,8,0,0,0,0,0,0,1,28,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
산성도서관,22600,31,서남부터미널기점 - 서남부터미널종점,2023-04,청소년,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
산성도서관,22600,311,신대차고지 - 신대차고지,2023-04,일반인,0,0,12,0,67,0,115,0,213,2,136,1,81,1,76,1,129,4,94,0,83,1,88,0,109,0,146,5,146,5,55,1,62,0,29,2,6,0,0,0,0,0,0,0,0,0,0,0,
산성도서관,22600,311,신대차고지 - 신대차고지,2023-04,어린이,0,0,0,0,0,0,29,0,9,0,2,0,0,0,3,0,0,0,1,0,0,0,3,0,7,0,13,0,0,0,2,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
산성도서관,22600,311,신대차고지 - 신대차고지,2023-04,청소년,0,0,0,0,0,0,80,0,27,0,3,0,7,0,9,0,8,0,17,0,9,0,10,0,8,0,1,0,12,3,3,1,6,0,6,0,8,0,0,0,0,0,0,0,0,0,0,0,
산성도서관,22600,311,신대차고지 - 신대차고지,2023-04,경로,0,0,0,0,0,0,7,0,8,0,3,0,5,0,3,0,3,0,0,0,2,1,1,0,14,0,2,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
산성도서관,22600,311,신대차고지 - 신대차고지,2023-04,장애인,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
산성도서관,22600,311,신대차고지 - 신대차고지,2023-04,국가유공자,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
